epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,23498.1,0.4716,0.43074,0.87049,0.886,0.83469,0.89703,0.78689,0.40006,0.38381,0.84103,0.003664,0.003664,0.003664
66,23859.4,0.47172,0.43008,0.86813,0.90284,0.84412,0.8986,0.79798,0.39979,0.38647,0.84225,0.003565,0.003565,0.003565
67,24220.6,0.47114,0.42956,0.8684,0.86384,0.88321,0.90065,0.79761,0.4001,0.38292,0.84314,0.003466,0.003466,0.003466
68,24581.3,0.46512,0.42083,0.86799,0.8542,0.88664,0.90198,0.80323,0.39951,0.38434,0.84353,0.003367,0.003367,0.003367
69,24942.5,0.46281,0.41674,0.86595,0.89748,0.83319,0.89824,0.80549,0.39602,0.38259,0.84025,0.003268,0.003268,0.003268
70,25303.9,0.46199,0.41772,0.8655,0.87803,0.86704,0.89878,0.79561,0.39576,0.3761,0.84104,0.003169,0.003169,0.003169
71,25665.4,0.46023,0.412,0.86543,0.91306,0.85237,0.89967,0.79729,0.39325,0.3768,0.84114,0.00307,0.00307,0.00307
72,26026.3,0.45581,0.40786,0.86471,0.89557,0.84561,0.89819,0.80015,0.39231,0.37418,0.84276,0.002971,0.002971,0.002971
73,26387.1,0.45434,0.41144,0.86357,0.90108,0.84535,0.89528,0.80099,0.39091,0.37174,0.83992,0.002872,0.002872,0.002872
74,26747.8,0.45501,0.40563,0.86482,0.89491,0.84014,0.89379,0.79688,0.39094,0.37365,0.84167,0.002773,0.002773,0.002773
75,27108.8,0.45001,0.3972,0.86364,0.91986,0.84814,0.9072,0.79829,0.39177,0.37067,0.84125,0.002674,0.002674,0.002674
76,27469.5,0.45118,0.40149,0.863,0.90938,0.86364,0.907,0.79658,0.3911,0.36727,0.84101,0.002575,0.002575,0.002575
77,27830.1,0.44595,0.39207,0.86138,0.92693,0.8478,0.9069,0.79914,0.39037,0.36902,0.83972,0.002476,0.002476,0.002476
78,28190.7,0.44139,0.39256,0.85996,0.9201,0.86063,0.90967,0.80054,0.38977,0.36689,0.8398,0.002377,0.002377,0.002377
79,28551.2,0.43746,0.38976,0.85892,0.89707,0.8629,0.90683,0.80447,0.38919,0.36217,0.84111,0.002278,0.002278,0.002278
80,28911.8,0.43691,0.38266,0.8568,0.90327,0.85372,0.90581,0.80064,0.38783,0.36403,0.83928,0.002179,0.002179,0.002179
81,29272.5,0.43415,0.37841,0.85617,0.91627,0.86008,0.90862,0.802,0.38513,0.36253,0.84048,0.00208,0.00208,0.00208
82,29633.2,0.43558,0.38156,0.85752,0.91716,0.85954,0.90796,0.80783,0.38194,0.36025,0.83933,0.001981,0.001981,0.001981
83,29994.1,0.42832,0.37323,0.85683,0.9142,0.85406,0.90712,0.80347,0.38044,0.3585,0.83944,0.001882,0.001882,0.001882
84,30355,0.43061,0.37465,0.85914,0.918,0.84706,0.90123,0.8001,0.38222,0.35916,0.83948,0.001783,0.001783,0.001783
85,30715.7,0.42492,0.37174,0.8561,0.91321,0.84312,0.904,0.80017,0.3859,0.3583,0.84078,0.001684,0.001684,0.001684
86,31076.5,0.42156,0.36988,0.85332,0.92124,0.85169,0.9084,0.79975,0.3856,0.35823,0.84184,0.001585,0.001585,0.001585
87,31437.4,0.42597,0.36572,0.85658,0.90462,0.84021,0.9025,0.80544,0.38346,0.35465,0.84015,0.001486,0.001486,0.001486
88,31798.1,0.42075,0.36621,0.85439,0.90859,0.84887,0.90763,0.80686,0.38601,0.35623,0.84257,0.001387,0.001387,0.001387
89,32159.1,0.41576,0.35562,0.8534,0.91258,0.85109,0.90726,0.80489,0.38412,0.35618,0.84155,0.001288,0.001288,0.001288
90,32519.8,0.41297,0.35699,0.85152,0.91559,0.84852,0.90501,0.80796,0.38348,0.35545,0.84308,0.001189,0.001189,0.001189
91,32880.7,0.36938,0.30985,0.82474,0.9085,0.84374,0.90065,0.80157,0.38781,0.35763,0.84602,0.00109,0.00109,0.00109
92,33238.3,0.36499,0.30553,0.82349,0.90022,0.85583,0.90479,0.80936,0.3862,0.35662,0.84243,0.000991,0.000991,0.000991
93,33595.7,0.35865,0.29877,0.82012,0.90789,0.84937,0.90423,0.81069,0.38407,0.35599,0.84132,0.000892,0.000892,0.000892
94,33953.4,0.35749,0.29408,0.81753,0.91344,0.84772,0.90487,0.8111,0.38496,0.35484,0.84245,0.000793,0.000793,0.000793
95,34311.1,0.35054,0.28894,0.81808,0.92129,0.84406,0.90479,0.8128,0.38221,0.35514,0.84084,0.000694,0.000694,0.000694
96,34669.1,0.34834,0.28708,0.81664,0.92193,0.84559,0.90523,0.81546,0.38013,0.35445,0.84052,0.000595,0.000595,0.000595
97,35027.1,0.3456,0.28309,0.81656,0.9267,0.84159,0.90492,0.81119,0.38058,0.35503,0.84047,0.000496,0.000496,0.000496
98,35384.5,0.33673,0.27629,0.81588,0.93336,0.84097,0.90468,0.81231,0.38153,0.35695,0.84134,0.000397,0.000397,0.000397
99,35742.3,0.33851,0.27661,0.81195,0.93092,0.83796,0.90136,0.81051,0.38264,0.35661,0.84219,0.000298,0.000298,0.000298
100,36100,0.33456,0.2693,0.811,0.93315,0.83652,0.90096,0.80965,0.38238,0.35694,0.84186,0.000199,0.000199,0.000199
