epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,167070,0.40349,0.35707,0.85123,0.88154,0.85943,0.89673,0.81664,0.3613,0.34806,0.83679,0.003763,0.003763,0.003763
65,169751,0.40633,0.36578,0.85274,0.89168,0.87656,0.90202,0.80812,0.36059,0.34978,0.83929,0.003664,0.003664,0.003664
66,172445,0.3974,0.35169,0.84836,0.87213,0.86293,0.89694,0.80681,0.35986,0.34423,0.83875,0.003565,0.003565,0.003565
67,175130,0.39527,0.34817,0.85004,0.89188,0.86933,0.90184,0.8011,0.36032,0.34401,0.84103,0.003466,0.003466,0.003466
68,177793,0.39076,0.34593,0.84698,0.8921,0.85756,0.90308,0.81058,0.3555,0.33677,0.8377,0.003367,0.003367,0.003367
69,180502,0.38955,0.33677,0.8504,0.8882,0.84153,0.8987,0.80098,0.35558,0.33861,0.83918,0.003268,0.003268,0.003268
70,183187,0.38718,0.33778,0.84616,0.87783,0.87389,0.90243,0.81589,0.35519,0.33631,0.8384,0.003169,0.003169,0.003169
71,185909,0.38075,0.33615,0.84373,0.88641,0.85636,0.90601,0.81752,0.35611,0.33314,0.84091,0.00307,0.00307,0.00307
72,188606,0.37341,0.33132,0.84122,0.90272,0.83996,0.89991,0.81967,0.35282,0.3326,0.83883,0.002971,0.002971,0.002971
73,191288,0.37632,0.32905,0.84569,0.90874,0.84029,0.90093,0.82118,0.35508,0.33149,0.83981,0.002872,0.002872,0.002872
74,193979,0.37437,0.3288,0.84121,0.88505,0.86839,0.90032,0.81749,0.35388,0.33234,0.83906,0.002773,0.002773,0.002773
75,196701,0.37241,0.32278,0.84148,0.89801,0.86945,0.90268,0.81556,0.3491,0.33575,0.83483,0.002674,0.002674,0.002674
76,199422,0.36884,0.32319,0.8421,0.88271,0.89935,0.91373,0.83108,0.34877,0.33465,0.83655,0.002575,0.002575,0.002575
77,202127,0.36644,0.31672,0.84088,0.87117,0.90241,0.91365,0.83142,0.34756,0.32859,0.83416,0.002476,0.002476,0.002476
78,204803,0.36576,0.31911,0.84128,0.89806,0.87577,0.91222,0.82923,0.34618,0.32898,0.83651,0.002377,0.002377,0.002377
79,207514,0.36565,0.31384,0.84252,0.90757,0.8674,0.91179,0.8253,0.34946,0.32963,0.83697,0.002278,0.002278,0.002278
80,210338,0.3613,0.31255,0.83829,0.90287,0.88629,0.91274,0.82947,0.34501,0.32271,0.83393,0.002179,0.002179,0.002179
81,213069,0.35795,0.30366,0.83777,0.90454,0.88391,0.91474,0.83115,0.34439,0.32277,0.83375,0.00208,0.00208,0.00208
82,215791,0.35477,0.30368,0.8371,0.90653,0.87718,0.91333,0.83592,0.34592,0.32447,0.83493,0.001981,0.001981,0.001981
